,keywords
0,"{'tv': 0.425, 'definition': 0.193, 'watch': 0.17, 'satellite': 0.167, 'content': 0.159}"
1,"{'worldcom': 0.534, 'ebbers': 0.49, 'accounting': 0.304, 'fraud': 0.156, 'defence': 0.143}"
2,"{'farrell': 0.576, 'leicester': 0.261, 'tigers': 0.235, 'rugby': 0.231, 'league': 0.213}"
3,"{'league': 0.236, 'west': 0.197, 'cup': 0.174, 'united': 0.169, 'drawn': 0.167}"
4,"{'ocean': 0.469, 'sequel': 0.408, 'twelve': 0.285, 'starring': 0.212, 'box': 0.19}"
5,"{'howard': 0.546, 'party': 0.239, 'labour': 0.201, 'election': 0.172, 'michael': 0.17}"
6,"{'parliament': 0.377, 'election': 0.362, 'blair': 0.319, 'april': 0.22, 'name': 0.207}"
7,"{'henman': 0.619, 'rain': 0.325, 'seed': 0.259, 'ljubicic': 0.22, 'frustrating': 0.211}"
8,"{'wilkinson': 0.506, 'injury': 0.255, 'edinburgh': 0.228, 'england': 0.214, 'newcastle': 0.208}"
9,"{'wars': 0.445, 'lucas': 0.378, 'rating': 0.347, 'film': 0.316, 'star': 0.267}"
10,"{'film': 0.5, 'nazi': 0.291, 'berlin': 0.263, 'festival': 0.228, 'distributing': 0.187}"
11,"{'virgin': 0.651, 'blue': 0.548, 'profits': 0.198, 'airline': 0.178, 'shares': 0.174}"
12,"{'prices': 0.425, 'crude': 0.366, 'oil': 0.356, 'barrel': 0.312, 'opec': 0.248}"
13,"{'hague': 0.771, 'ambition': 0.205, 'party': 0.17, 'front': 0.159, 'bench': 0.143}"
14,"{'roddick': 0.404, 'moya': 0.371, 'clay': 0.309, 'davis': 0.287, 'spain': 0.23}"
15,"{'lg': 0.485, 'card': 0.396, 'creditors': 0.308, 'korea': 0.26, 'debt': 0.221}"
16,"{'stem': 0.54, 'cells': 0.372, 'cell': 0.261, 'research': 0.237, 'howard': 0.215}"
17,"{'connors': 0.447, 'coaches': 0.435, 'jimmy': 0.274, 'kids': 0.27, 'relationship': 0.229}"
18,"{'mitsubishi': 0.387, 'bank': 0.32, 'japan': 0.292, 'japanese': 0.264, 'trillion': 0.226}"
19,"{'argonaut': 0.77, 'games': 0.192, 'cash': 0.165, 'london': 0.153, 'save': 0.152}"
20,"{'fbi': 0.684, 'mails': 0.334, 'attachment': 0.311, 'virus': 0.305, 'computer': 0.139}"
21,"{'bandwidth': 0.413, 'traffic': 0.341, 'halo': 0.263, 'gaming': 0.26, 'explosion': 0.211}"
22,"{'bates': 0.592, 'leeds': 0.418, 'club': 0.364, 'takeover': 0.242, 'board': 0.131}"
23,"{'villa': 0.423, 'cole': 0.381, 'leary': 0.321, 'ankle': 0.252, 'operation': 0.214}"
24,"{'sound': 0.458, 'mobile': 0.394, 'audio': 0.388, 'technology': 0.357, 'handsets': 0.146}"
25,"{'moya': 0.437, 'atp': 0.337, 'relief': 0.257, 'tournament': 0.246, 'prize': 0.226}"
26,"{'dicaprio': 0.675, 'hughes': 0.232, 'aviator': 0.221, 'film': 0.188, 'actor': 0.178}"
